Kabupaten/Kodya,Jan,Feb,Mar,April,Mei,Juni,Juli,Agt,Sep,Okt,Nop,Des,Cluster
CILACAP,62,76,70,101,67,92,78,48,12,16,16,16,first cluster
BANYUMAS,32,157,29,134,68,21,9,8,4,16,11,15,first cluster
PURBALINGGA,56,36,52,4,10,32,25,4,8,0,11,13,fourth cluster
BANJARNEGARA,53,85,37,47,48,13,21,4,2,3,4,13,fourth cluster
KEBUMEN,49,44,50,39,82,50,11,0,3,16,9,13,fourth cluster
PURWOREJO,47,29,32,29,28,22,12,0,3,3,0,12,fourth cluster
WONOSOBO,7,5,10,9,12,12,2,4,3,0,0,0,third cluster
MAGELANG,40,55,51,52,15,4,13,2,1,16,13,7,fourth cluster
BOYOLALI,95,121,28,74,34,11,26,7,7,14,15,4,second cluster
KLATEN,40,65,107,126,66,26,51,28,2,16,15,10,first cluster
SUKOHARJO,13,21,43,52,61,31,26,16,7,11,5,3,fourth cluster
WONOGIRI,20,8,2,11,3,1,2,1,1,2,0,1,third cluster
KARANGANYAR,22,35,44,75,45,39,66,43,31,25,12,10,fourth cluster
SRAGEN,56,100,110,110,71,46,20,16,9,20,19,16,first cluster
GROBOGAN,120,132,152,10,42,31,47,41,44,49,46,38,second cluster
BLORA,282,204,25,15,8,9,6,12,9,17,10,13,fiveth cluster
REMBANG,222,150,18,13,26,13,45,25,26,16,28,17,fiveth cluster
PATI,89,116,121,43,25,16,41,23,11,59,19,31,second cluster
KUDUS,55,157,108,116,96,49,18,16,8,29,8,10,first cluster
JEPARA,139,133,110,99,65,33,39,16,16,17,14,28,second cluster
DEMAK,76,56,20,118,73,43,73,44,25,38,39,35,first cluster
SEMARANG,34,152,52,82,86,84,19,12,0,12,17,11,first cluster
TEMANGGUNG,45,48,45,50,33,43,46,90,14,16,14,14,fourth cluster
KENDAL,79,77,81,61,29,12,29,17,14,7,8,1,fourth cluster
BATANG,65,105,53,104,101,47,14,10,6,9,19,14,first cluster
PEKALONGAN,31,31,64,43,18,46,12,7,8,18,12,9,fourth cluster
PEMALANG,70,81,64,54,77,33,7,9,6,29,26,19,fourth cluster
TEGAL,27,60,61,41,16,10,17,8,5,23,6,10,fourth cluster
BREBES,57,66,108,151,125,73,42,32,12,20,17,16,first cluster
KOTA MAGELANG,2,6,11,8,18,4,9,5,2,5,2,1,third cluster
KOTA SURAKARTA,22,36,58,62,74,42,42,13,13,7,2,0,fourth cluster
KOTA SALATIGA,3,16,8,8,9,6,9,5,4,0,0,0,third cluster
KOTA SEMARANG,21,37,61,47,48,43,20,27,25,32,36,25,fourth cluster
KOTA PEKALONGAN,5,14,4,4,2,2,1,0,2,1,1,0,third cluster
KOTA TEGAL,6,3,8,4,6,5,3,0,5,5,4,1,third cluster
